em_ortsbezüge,em_ortsbezüge_wikidata,wikidata_id,coordinate_location_wikidata,coord_lat,coord_lon
"Bezirk, Treptow",Treptow,Q677833,"52.484167,13.479444",52.484167,13.479444
"Bezirk, Wilmersdorf",Wilmersdorf,Q854113,"52.4919,13.3053",52.4919,13.3053
"Bezirk, Wilmersdorf)",Wilmersdorf,Q854113,"52.4919,13.3053",52.4919,13.3053
"Bezirk, Zehlendorf",Zehlendorf,Q4708753,"52.435,13.2247",52.435,13.2247
"Bezirk, Zehlendorf [...]",Zehlendorf,Q4708753,"52.435,13.2247",52.435,13.2247
Bhutan,Bhutan,Q917,"27.45,90.5",27.45,90.5
"Bialystok, vgl. Inv.eintrag zu I A 3535",Białystok,Q761,"53.13235582177266,23.168672448229557",53.13235582177266,23.168672448229557
Bielefeld,Bielefeld,Q2112,"52.016666666667,8.5333333333333",52.016666666667,8.5333333333333
Bietigheim-Bissingen (bei Ludwigsburg),Bietigheim-Bissingen,Q7067,"48.949444444444445,9.136111111111111",48.949444444444445,9.136111111111111
Biganzolo (Italien),Biganzolo,Q63521974,"45.946427777778,8.5880944444444",45.946427777778,8.5880944444444
Bijâpur (Bombay),Vijayapura,Q3636023,"16.82442,75.71537",16.82442,75.71537
Bindjey,Sultanate of Deli,Q2030015,"2,99",2,99
Binningen (Schweiz),Binningen,Q69621,"47.533333333333,7.5666666666667",47.533333333333,7.5666666666667
Bipinde (Kamerun),Bipindé,Q23676816,"3.23316,10.0309",3.23316,10.0309
Birgel bei Düren (Rheinland),Birgel,Q567206,"50.322222222222,6.6222222222222",50.322222222222,6.6222222222222
Birma,Myanmar,Q836,"22,96",22,96
Bismarck-Archipel,Bismarck Archipelago,Q154628,"-5,150.1",-5,150.1
Bismarck-Archipel [...],Bismarck Archipelago,Q154628,"-5,150.1",-5,150.1
Bismarckburg (Togogebiet),Bismarckburg,Q25392478,"8.1772,0.687",8.1772,0.687
Bixschoote,Bikschote,Q2902622,"50.9258,2.8647",50.9258,2.8647
Blankenese,Blankenese,Q1607,"53.55843,9.81123",53.55843,9.81123
Blankenfelde (Brandenburg),Blankenfelde,Q3640862,"52.3307021,13.4089264",52.3307021,13.4089264
Blasewitz,Blasewitz,Q8897,"51.052777777778,13.795833333333",51.052777777778,13.795833333333
Blasewitz [...],Blasewitz,Q8897,"51.052777777778,13.795833333333",51.052777777778,13.795833333333
Blasewitz-Dresden,Blasewitz,Q8897,"51.052777777778,13.795833333333",51.052777777778,13.795833333333
Bloemfontein,Bloemfontein,Q37701,"-29.1,26.216666666667",-29.1,26.216666666667
Bludenz (Vorarlberg),Lech,Q567731,"47.21,10.142777777778",47.21,10.142777777778
Blumenau,Blumenau,Q155557,"-26.918888888889,-49.065833333333",-26.918888888889,-49.065833333333
Blumenthal,Blumenthal,Q632504,"54.226111111111,10.001944444444",54.226111111111,10.001944444444
Bochum,Bochum,Q2103,"51.483333333333,7.2166666666667",51.483333333333,7.2166666666667
Bogotá,Bogotá,Q2841,"4.60971,-74.08175",4.60971,-74.08175
Bogota (Kolumbien),Bogotá,Q2841,"4.60971,-74.08175",4.60971,-74.08175
Bogota (Kolumbien) [...],Bogotá,Q2841,"4.60971,-74.08175",4.60971,-74.08175
Bolama (Guinea-Bissau),Bolama,Q681802,"11.5776,-15.4742",11.5776,-15.4742
Bolama (Guinea),Bolama,Q681802,"11.5776,-15.4742",11.5776,-15.4742
Bolivien,Bolivia,Q750,"-17.056869611111,-64.991228611111",-17.056869611111,-64.991228611111
Bolivien (?),Bolivia,Q750,"-17.056869611111,-64.991228611111",-17.056869611111,-64.991228611111
Bolonga (Italien),Bologna,Q1891,"44.493888888889,11.342777777778",44.493888888889,11.342777777778
Bolschakowo (Russland),Bolshakovo,Q16020358,"60.9884,32.7579",60.9884,32.7579
Bolvien,Bolivia,Q750,"-17.056869611111,-64.991228611111",-17.056869611111,-64.991228611111
Bombay,Mumbai,Q1156,"19.075833333333332,72.8775",19.075833333333332,72.8775
Bombay (Britisch-Indien),Mumbai,Q1156,"19.075833333333332,72.8775",19.075833333333332,72.8775
Bombay (Indien),Mumbai,Q1156,"19.075833333333332,72.8775",19.075833333333332,72.8775
Bonn,Bonn,Q586,"50.735277777777775,7.102222222222222",50.735277777777775,7.102222222222222
Bonn [...],Bonn,Q586,"50.735277777777775,7.102222222222222",50.735277777777775,7.102222222222222
Boppard (am Rhein),Boppard,Q521148,"50.231388888889,7.5908333333333",50.231388888889,7.5908333333333
Bordeaux (Frankreich),Bordeaux,Q1479,"44.837777777778,-0.57944444444444",44.837777777778,-0.57944444444444
Bordesholm (bei Kiel),Bordesholm,Q570362,"54.183333333333,10.016666666667",54.183333333333,10.016666666667
Borenzhof [?] bei Oberwaldach (Baden),Waldachtal,Q81097,"48.489444444444,8.5647222222222",48.489444444444,8.5647222222222
Bormó,Bormó,,,,
Born a.d. Darss (Kreis Franzburg),Born auf dem Darß,Q388839,"54.385833333333,12.526666666667",54.385833333333,12.526666666667
Borneo,Borneo,Q36117,"-1,114",-1,114
"Boston, Massachusetts, USA",Boston,Q100,"42.360277777777775,-71.05777777777777",42.360277777777775,-71.05777777777777
Bougainville,Autonomous Region of Bougainville,Q18826,"-6,155",-6,155
Bougainville (?),Autonomous Region of Bougainville,Q18826,"-6,155",-6,155
Bourg-la-Reine (Hauts-de-Seine)‏,ville de Bourg-la-Reine,Q96597010,,,
Brandenburg a.d. Havel,Brandenburg an der Havel,Q3931,"52.414138888888886,12.554083333333333",52.414138888888886,12.554083333333333
Brandenburg/Havel,Brandenburg an der Havel,Q3931,"52.414138888888886,12.554083333333333",52.414138888888886,12.554083333333333
Brannenburg,Brannenburg,Q533000,"47.733333333333,12.1",47.733333333333,12.1
Brasilien,Brazil,Q155,"-14,-53",-14,-53
Brasilien (?),Brazil,Q155,"-14,-53",-14,-53
Brasilien [...],Brazil,Q155,"-14,-53",-14,-53
Brass (Niger-Delta),Brass Island,Q899419,"4.3169444444444,6.2427777777778",4.3169444444444,6.2427777777778
Braunsberg (Ostpreußen),Braniewo,Q160814,"54.38194444444444,19.823611111111113",54.38194444444444,19.823611111111113
Braunschweig,Brunswick,Q2773,"52.269166666667,10.521111111111",52.269166666667,10.521111111111
Braunschweig (?),Brunswick,Q2773,"52.269166666667,10.521111111111",52.269166666667,10.521111111111
Bremen,Bremen,Q24879,"53.075833333333335,8.807222222222222",53.075833333333335,8.807222222222222
Bremerhaven,Bremerhaven,Q2706,"53.55,8.5833333333333",53.55,8.5833333333333
Bremerhaven-Geestemünde,Geestemünde,Q1497751,"53.53344444444444,8.592055555555556",53.53344444444444,8.592055555555556
Breslau,Wrocław,Q1799,"51.11,17.0325",51.11,17.0325
"Breslau (heute Wrocław, Polen)",Wrocław,Q1799,"51.11,17.0325",51.11,17.0325
Breslau (Schlesien) [...],Wrocław,Q1799,"51.11,17.0325",51.11,17.0325
"Breslau (Wrocławia), Schlesien",Wrocław,Q1799,"51.11,17.0325",51.11,17.0325
Breslau [...],Wrocław,Q1799,"51.11,17.0325",51.11,17.0325
Brieg,Brzeg,Q214640,"50.86666666666667,17.466666666666665",50.86666666666667,17.466666666666665
Brighton (Großbritannien),Brighton,Q131491,"50.82083333333333,-0.1375",50.82083333333333,-0.1375
Britisch-Guayana,British Guiana,Q918126,"5,-58.75",5,-58.75
Britisch-Indien,British India,Q112660052,,,
Britisch-Neuguinea,British New Guinea,Q2645837,"-9.47888888888889,147.1494438888889",-9.47888888888889,147.1494438888889
"Britisch-Neuguinea, Santa-Cruz-Inseln [...]",Santa Cruz Islands,Q148839,"-11,166.25",-11,166.25
Britisch-Ostafrika,East Africa Protectorate,Q876185,"-4.05,39.666666666666664",-4.05,39.666666666666664
Britisch-Tibet,Tibet Autonomous Region,Q17269,"31.705556,86.940278",31.705556,86.940278
