em_ortsbezüge,em_ortsbezüge_wikidata,wikidata_id,coordinate_location_wikidata,coord_lat,coord_lon
"Kolonie/""Schutzgebiet"", Deutsch-Ostafrika [...]",German East Africa,Q153963,"-2.4130555555555557,30.54361111111111",-2.4130555555555557,30.54361111111111
"Kolonie/""Schutzgebiet"", Deutsch-Südwestafrika",German South-West Africa,Q153665,"-22,17",-22,17
"Kolonie/""Schutzgebiet"", Deutsch-Südwestafrika (?)",German South-West Africa,Q153665,"-22,17",-22,17
"Kolonie/""Schutzgebiet"", Deutsch-Südwestafrika [...]",German South-West Africa,Q153665,"-22,17",-22,17
"Kolonie/""Schutzgebiet"", Kamerun",Kamerun,Q668294,"4.0369,9.6858",4.0369,9.6858
"Kolonie/""Schutzgebiet"", Kamerun [...]",Kamerun,Q668294,"4.0369,9.6858",4.0369,9.6858
"Kolonie/""Schutzgebiet"", Niederländisch-Indien",Dutch India,Q738078,,,
"Kolonie/""Schutzgebiet"", Niederländisch-Indien [...]",Dutch India,Q738078,,,
"Kolonie/""Schutzgebiet"", Samoa",German Samoa,Q701025,"-13.8,-172.1",-13.8,-172.1
"Kolonie/""Schutzgebiet"", Togo",Togoland,Q161062,"6.272,1.187",6.272,1.187
"Kolonie/""Schutzgebiet"", Togoland",Togoland,Q161062,"6.272,1.187",6.272,1.187
"Kolonie/""Schutzgebiet"", Togoland [...]",Togoland,Q161062,"6.272,1.187",6.272,1.187
"Kolonie/""Schutzgebiet"", Victoria",Colony of Victoria,Q56850459,,,
Kolumbien,Colombia,Q739,"4,-73.25",4,-73.25
Kolumbien [...],Colombia,Q739,"4,-73.25",4,-73.25
Kolyma,Kolyma,Q78879,"62.2919,147.7325",62.2919,147.7325
,,,"69.5514,161.3642",69.5514,161.3642
"Komotau, Böhmen (heute: Chomutov, Tschechien)",Chomutov,Q146356,"50.462777777778,13.411111111111",50.462777777778,13.411111111111
Kongo,Republic of the Congo,Q971,"-0.75,15.383330555556",-0.75,15.383330555556
Kongo (Demokratische Republik),Democratic Republic of the Congo,Q974,"-2.88,23.656111111111112",-2.88,23.656111111111112
Kongo-Staat,Congo Free State,Q76048,"-5.854722222222222,13.056666666666667",-5.854722222222222,13.056666666666667
Kongulo am Dja (Kamerun),Dja River,Q1231996,"1.9194444444444,15.746111111111",1.9194444444444,15.746111111111
,,,"3.6667,13.5833",3.6667,13.5833
,,,"1.6574,16.0541",1.6574,16.0541
"Königreich, Benin",Benin Empire,Q171203,"6.31667,5.6",6.31667,5.6
"Königreich, Dahomey",Dahomey,Q468814,"7.1855555555556,1.9880555555556",7.1855555555556,1.9880555555556
"Königreich, Mpororo",Ankole,Q538636,"-0.613333,30.658333",-0.613333,30.658333
"Königreich, Siam",Siam,Q1081620,"13.75,100.51666666666667",13.75,100.51666666666667
Königsberg,Königsberg,Q4120832,"54.71147222222222,20.509305555555557",54.71147222222222,20.509305555555557
Königsberg (?) [Kbg],Königsberg,Q4120832,"54.71147222222222,20.509305555555557",54.71147222222222,20.509305555555557
Königsberg (i.Pr.),Königsberg,Q4120832,"54.71147222222222,20.509305555555557",54.71147222222222,20.509305555555557
Königsberg (Neumark) [...],Chojna,Q954157,"52.96389,14.42797",52.96389,14.42797
Königsberg (Ostpreußen),Königsberg,Q4120832,"54.71147222222222,20.509305555555557",54.71147222222222,20.509305555555557
Königsberg (Ostpreußen) [...],Königsberg,Q4120832,"54.71147222222222,20.509305555555557",54.71147222222222,20.509305555555557
Königsberg [...],Königsberg,Q4120832,"54.71147222222222,20.509305555555557",54.71147222222222,20.509305555555557
Konitz,Chojnice,Q740241,"53.69554,17.55701",53.69554,17.55701
Könitz  (Thüringen),Könitz,Q1796540,"50.6522,11.4881",50.6522,11.4881
Konstantinopel,Istanbul,Q406,"41.01,28.960277777778",41.01,28.960277777778
Konstanz,Constance,Q3834,"47.663333333333,9.1752777777778",47.663333333333,9.1752777777778
Kopenhagen,Copenhagen,Q1748,"55.676111111111,12.568888888889",55.676111111111,12.568888888889
Kopenhagen (Dänemark),Copenhagen,Q1748,"55.676111111111,12.568888888889",55.676111111111,12.568888888889
Köpenik,Köpenick,Q521521,"52.445833333333,13.577222222222",52.445833333333,13.577222222222
Koprieve (Polen),Stare Koprzywno,Q7601696,"53.7289,16.2817",53.7289,16.2817
Korea,Korea,Q18097,"38.316666666667,127.23333333333",38.316666666667,127.23333333333
Korea [...],Korea,Q18097,"38.316666666667,127.23333333333",38.316666666667,127.23333333333
"Korea, Einzelstück ??",Korea,Q18097,"38.316666666667,127.23333333333",38.316666666667,127.23333333333
"Korsör/Kiel, zwischen Korsör und Kiel (auf See)",Korsør,Q1784816,"55.3283,11.1397",55.3283,11.1397
Koszalin (deutsch: Köslin),Koszalin,Q62868,"54.190277777778,16.181666666667",54.190277777778,16.181666666667
Köthen (Cöthen),Köthen,Q1796771,"51.75111111111111,11.973611111111111",51.75111111111111,11.973611111111111
Kraatz bei Gransee (Mark Brandenburg),Kraatz,Q60181342,"53.38969,13.66475",53.38969,13.66475
"Krasnojarsk (?), Quelle ??",Krasnojarsk,Q4239267,,,
"Kreis, Apenrade, Geburtsort lt. Katalog 1901",Apenrade,Q1787189,,,
"Kreisstadt, Neurode (Grafschaft Glatz in Schlesien)",Nowa Ruda,Q246264,"50.58,16.50138888888889",50.58,16.50138888888889
Kronberg (Taunus),Kronberg im Taunus,Q569634,"50.179652777777775,8.508541666666666",50.179652777777775,8.508541666666666
"Kronkolonie, Labuan",Labuan,Q3183032,"-6.3080555555556,105.84444444444",-6.3080555555556,105.84444444444
Kronprinzenkoog (Holstein),Kronprinzenkoog,Q528687,"53.966666666667,8.9666666666667",53.966666666667,8.9666666666667
Krotoszyn (Krotoschin) Provinz Posen/Preußen,Krotoszyn,Q984538,"51.697019444444,17.435694444444",51.697019444444,17.435694444444
Krumpendorf/Wörthersee (Österreich),Krumpendorf am Wörthersee,Q662440,"46.625555555556,14.211388888889",46.625555555556,14.211388888889
Kuibis,Aus,Q777558,"-26.666666666667,16.266666666667",-26.666666666667,16.266666666667
Kulm (Westpreußen),Chełmno,Q161962,"53.34917,18.42605",53.34917,18.42605
Küste vor Westafrika,West Africa,Q4412,"12,3",12,3
Kyôto (Japan),Kyoto,Q34600,"35.01161111111111,135.76811111111112",35.01161111111111,135.76811111111112
"La Crosse (Wisconsin, Vereinigte Staaten (USA))",La Crosse,Q936780,"43.813333333333,-91.233055555556",43.813333333333,-91.233055555556
La Paz (Bolivien),La Paz,Q1491,"-16.495833333333334,-68.13333333333334",-16.495833333333334,-68.13333333333334
La Paz (Bolivien) [...],La Paz,Q1491,"-16.495833333333334,-68.13333333333334",-16.495833333333334,-68.13333333333334
La Tour-de-Peilz (Schweiz),La Tour-de-Peilz,Q69721,"46.45,6.8666666666667",46.45,6.8666666666667
Labrador,Labrador,Q41942,"16.025,120.146",16.025,120.146
Lagos,Lagos,Q8673,"6.456111111111111,3.3936111111111114",6.456111111111111,3.3936111111111114
Lahore (Britisch-Indien),Lahore,Q11739,"31.549722222222,74.343611111111",31.549722222222,74.343611111111
Lahore (Indien),Lahore,Q11739,"31.549722222222,74.343611111111",31.549722222222,74.343611111111
Lahore (Pakistan),Lahore,Q11739,"31.549722222222,74.343611111111",31.549722222222,74.343611111111
Lahr (i.B.),Lahr/Schwarzwald,Q7039,"48.339166666667,7.8722222222222",48.339166666667,7.8722222222222
Lamberg,Lviv,Q36036,"49.8425,24.032222222222224",49.8425,24.032222222222224
Lamu,Lamu Island,Q783117,"-2.2833333333333,40.866666666667",-2.2833333333333,40.866666666667
"Land, Angola",Angola,Q916,"-12.35,17.35",-12.35,17.35
"Land, Australien",Australia,Q408,"-25,133",-25,133
"Land, Belgien",Belgium,Q31,"50.641111111111,4.6680555555556",50.641111111111,4.6680555555556
"Land, Benin",Benin,Q962,"8.8333333333333,2.1833333333333",8.8333333333333,2.1833333333333
"Land, China",People's Republic of China,Q148,"35.844722222222224,103.45194444444445",35.844722222222224,103.45194444444445
"Land, Indien",India,Q668,"22.8,83",22.8,83
"Land, Iran",Iran,Q794,"32,53",32,53
"Land, Namibia",Namibia,Q1030,"-23,17",-23,17
"Land, Portugal",Portugal,Q45,"38.7,-9.183333333333334",38.7,-9.183333333333334
"Land, Rhodesien",Zimbabwe Rhodesia,Q890120,"17.863889,31.029722",17.863889,31.029722
"Land, Simbabwe (Zimbabwe)",Zimbabwe,Q954,"-19,30",-19,30
"Land, Südafrika",South Africa,Q258,"-29,24",-29,24
"Land, Sudan (Oberer Nil)",Sudan,Q1049,"15,32",15,32
"Land, Tansania [...]",Tanzania,Q924,"-6.3069444444444445,34.85388888888889",-6.3069444444444445,34.85388888888889
"Land, Uganda",Uganda,Q1036,"1.28,32.39",1.28,32.39
"Land, Vietnam",Vietnam,Q881,"16,108",16,108
"Land/Region, Südafrika",South Africa,Q258,"-29,24",-29,24
"Land/Region, Tansania",Tanzania,Q924,"-6.3069444444444445,34.85388888888889",-6.3069444444444445,34.85388888888889
"Landschaft, Adamaua",Adamawa,Q351514,"7.3213888888889,13.583888888889",7.3213888888889,13.583888888889
Landshut (Bayern),Bavaria-Landshut,Q677490,"48.53333333,12.15",48.53333333,12.15
Langensalza,Bad Langensalza,Q518368,"51.108055555556,10.646666666667",51.108055555556,10.646666666667
Langenschwalbach,Bad Schwalbach,Q522541,"50.140138888889,8.0694444444444",50.140138888889,8.0694444444444
Langkat (Sumatra),Langkat,Q5833,"3.7666666666667,98.216666666667",3.7666666666667,98.216666666667
Laos,Laos,Q819,"18.2,104.1",18.2,104.1
Lassan (Vorpommern),Lassan,Q426353,"53.933333333333,13.833333333333",53.933333333333,13.833333333333
Lauban,Lubań,Q115723,"51.116666666667,15.3",51.116666666667,15.3
Lauchhammer,Lauchhammer,Q589247,"51.469303,13.763192",51.469303,13.763192
Lauchheim (Württemberg),Lauchheim,Q574207,"48.871666666667,10.244444444444",48.871666666667,10.244444444444
Lausanne (Schweiz),Lausanne,Q807,"46.533333333333,6.6333333333333",46.533333333333,6.6333333333333
Leau,Leau,Q34417890,"51.732222222222,11.795",51.732222222222,11.795
Lechenich (Rheinland),Lechenich,Q1811312,"50.8,6.7666666666667",50.8,6.7666666666667
Leeds (Großbritannien),Leeds,Q39121,"53.7975,-1.5436111111111113",53.7975,-1.5436111111111113
Lehe,Lehe,Q1813037,"53.572966666666666,8.593902777777778",53.572966666666666,8.593902777777778
Lehe bei Bremerhaven,Lehe,Q1813037,"53.572966666666666,8.593902777777778",53.572966666666666,8.593902777777778
Leiden,Leiden,Q43631,"52.16,4.49",52.16,4.49
Leiden (?),Leiden,Q43631,"52.16,4.49",52.16,4.49
Leiden (Leyden),Leiden,Q43631,"52.16,4.49",52.16,4.49
Leiden (Leyden) (Niederlande),Leiden,Q43631,"52.16,4.49",52.16,4.49
Leiden (Niederlande),Leiden,Q43631,"52.16,4.49",52.16,4.49
Leipzig,Leipzig,Q2079,"51.3406321,12.3747329",51.3406321,12.3747329
Leipzig [...],Leipzig,Q2079,"51.3406321,12.3747329",51.3406321,12.3747329
Lengenfeld (Vogtland),Lengenfeld,Q46869,"50.566666666667,12.366666666667",50.566666666667,12.366666666667
Lenggries,Lenggries,Q532151,"47.680277777778,11.573888888889",47.680277777778,11.573888888889
Lenthe (bei Hannover),Lenthe,Q1818291,"52.3561,9.61389",52.3561,9.61389
Liberia,Liberia,Q1014,"6.533333,-9.75",6.533333,-9.75
Libysche Wüste,Libyan Desert,Q181528,"24,25",24,25
Lichtenberg,Lichtenberg,Q70998,"50.835,13.422222222222",50.835,13.422222222222
Lichtenthal (Ludwigsbad),Lichtental,Q896509,"48.7439,8.26083",48.7439,8.26083
Lichterfelde,Lichterfelde,Q155211,"52.4428,13.295666666666667",52.4428,13.295666666666667
Liegnitz,Legnica,Q106274,"51.21006,16.1619",51.21006,16.1619
Liegnitz (Schlesien),Legnica,Q106274,"51.21006,16.1619",51.21006,16.1619
Lima,Lima,Q2868,"-12.06,-77.0375",-12.06,-77.0375
Lima  (Peru),Lima,Q2868,"-12.06,-77.0375",-12.06,-77.0375
Lima (Peru),Lima,Q2868,"-12.06,-77.0375",-12.06,-77.0375
Lima [...],Lima,Q2868,"-12.06,-77.0375",-12.06,-77.0375
Limburg (Lahn),Limburg an der Lahn,Q16026,"50.38333333333333,8.066666666666666",50.38333333333333,8.066666666666666
Limburg an der Lahn (Hessen),Limburg an der Lahn,Q16026,"50.38333333333333,8.066666666666666",50.38333333333333,8.066666666666666
Limburg an der Lahr,Limburg an der Lahn,Q16026,"50.38333333333333,8.066666666666666",50.38333333333333,8.066666666666666
Limburg/Lemberg (?),Limburg an der Lahn,Q16026,"50.38333333333333,8.066666666666666",50.38333333333333,8.066666666666666
Lindenhof bei Eutin,Lindenhof,Q130561003,"51.11593,6.56016",51.11593,6.56016
Lindenthal/Cottbus,Lindenthal,Q547481,"50.926111111111,6.91",50.926111111111,6.91
Lindi,Lindi,Q829886,"-9.9969444444444,39.714444444444",-9.9969444444444,39.714444444444
Lippstadt (Lkr. Soest / Nordrhein-Westfalen),Lippstadt,Q3943,"51.666666666666664,8.35",51.666666666666664,8.35
Liverpool,Liverpool,Q24826,"53.407222222222224,-2.9916666666666667",53.407222222222224,-2.9916666666666667
Liverpool (Großbritannien),Liverpool,Q24826,"53.407222222222224,-2.9916666666666667",53.407222222222224,-2.9916666666666667
Lixingen (Lothringen),Lixing-lès-Rouhling,Q22277,"49.153611111111,6.9944444444444",49.153611111111,6.9944444444444
Loanda (Luanda),Luanda,Q3897,"-8.838333333333333,13.234444444444444",-8.838333333333333,13.234444444444444
Loango,Kingdom of Loango,Q1479630,"-4.7106,11.8378",-4.7106,11.8378
Loango [...],Kingdom of Loango,Q1479630,"-4.7106,11.8378",-4.7106,11.8378
Loben (Oberschlesien),Lobendava,Q1307793,"51.019542859425,14.314354473845",51.019542859425,14.314354473845
Lome,Lomé,Q3792,"6.13,1.2158333333333333",6.13,1.2158333333333333
Lome (Togo),Lomé,Q3792,"6.13,1.2158333333333333",6.13,1.2158333333333333
London,London,Q84,"51.507222222222,-0.1275",51.507222222222,-0.1275
London (Großbritannien),London,Q84,"51.507222222222,-0.1275",51.507222222222,-0.1275
London (Großbritannien) [...],London,Q84,"51.507222222222,-0.1275",51.507222222222,-0.1275
London [...],London,Q84,"51.507222222222,-0.1275",51.507222222222,-0.1275
Longji [...],Longji,Q10921447,"25.73163,110.06301",25.73163,110.06301
Los Angeles (Californien),Los Angeles,Q65,"34.05223,-118.24368",34.05223,-118.24368
Los Angeles (Chile),Los Ángeles,Q16910,"-37.4707,-72.3517",-37.4707,-72.3517
Lübeck,Lübeck,Q2843,"53.869722222222,10.686388888889",53.869722222222,10.686388888889
Lubochin (bei Dritschmin/ West Preußen),Lubocheń,Q6695468,"53.480833333333,18.354444444444",53.480833333333,18.354444444444
Lubochin bei Dritchmin (West-Preußen),Lubocheń,Q6695468,"53.480833333333,18.354444444444",53.480833333333,18.354444444444
"Lückendorf bei Oybin, Kgr. Sachsen",Lückendorf,Q1880205,"50.829166666667,14.764166666667",50.829166666667,14.764166666667
Ludwigsburg,Ludwigsburg,Q622,"48.8975,9.1919444444444",48.8975,9.1919444444444
Luf,Luf,Q2624094,"-1.53,145.07",-1.53,145.07
,,,"-1.5266666666667,145.06888888889",-1.5266666666667,145.06888888889
Lugano,Lugano,Q7024,"46.010277777778,8.9625",46.010277777778,8.9625
Luhonono,Luhonono,Q2167000,"-17.55,24.833333333333",-17.55,24.833333333333
Lunda (Kongo),Kasongo Lunda,Q3193717,"-6.4783333333333,16.817222222222",-6.4783333333333,16.817222222222
Lüneburg,Lüneburg,Q3920,"53.2525,10.414444444444",53.2525,10.414444444444
Lünen,Lünen,Q3822,"51.61666666666667,7.516666666666667",51.61666666666667,7.516666666666667
Lupembe,Lupembe,Q6704702,"-9.2743503,35.23594357",-9.2743503,35.23594357
Luxemburg,Luxembourg,Q32,"49.77,6.13",49.77,6.13
Luzern,Lucerne,Q4191,"47.0523,8.3059",47.0523,8.3059
Lyon,Lyon,Q456,"45.7675,4.835",45.7675,4.835
Lyon [...],Lyon,Q456,"45.7675,4.835",45.7675,4.835
Mac Donnel Gebirge (Zentral-Australien),MacDonnell Ranges,Q1475441,"-23.699722,132.5",-23.699722,132.5
Macalle (Tigrai),Mekele,Q332319,"13.496944444444445,39.47694444444444",13.496944444444445,39.47694444444444
Madagaskar,Madagascar,Q1019,"-20,47",-20,47
Madagaskar [...],Madagascar,Q1019,"-20,47",-20,47
Madras (Chennai),Chennai Central railway station,Q257382,"13.0847613,80.2748563",13.0847613,80.2748563
Madras (Indien),Chennai,Q1352,"13.0825,80.275",13.0825,80.275
Madrid (Spanien),Madrid,Q2807,"40.41694444444445,-3.703333333333333",40.41694444444445,-3.703333333333333
Mafia,Mafia Island,Q713391,"-7.85,39.783333333333",-7.85,39.783333333333
Magdeburg,Magdeburg,Q1733,"52.1315889,11.6399609",52.1315889,11.6399609
Magdeburg-Buckau,Buckau,Q999376,"52.1061,11.6403",52.1061,11.6403
Mailand (Italien),Milan,Q490,"45.466944444444,9.19",45.466944444444,9.19
"Main-Long-gylt (Siam, Shan-Staaten)",Thailand,Q869,"14,101",14,101
Mainz,Mainz,Q1720,"49.99944444444444,8.27361111111111",49.99944444444444,8.27361111111111
Malakka (Malâka),Malacca,Q61089,"2.1888888888889,102.25111111111",2.1888888888889,102.25111111111
Malang (bei Soerabaya) [...],Malang,Q11445,"-7.968930410005819,112.63272771651582",-7.968930410005819,112.63272771651582
Malang (Ost-Java),Malang,Q11445,"-7.968930410005819,112.63272771651582",-7.968930410005819,112.63272771651582
Malaysia,Malaysia,Q833,"3.7805111,102.31436166666667",3.7805111,102.31436166666667
Malden (Massachusetts),Malden,Q54149,"42.425,-71.066666666667",42.425,-71.066666666667
Malschoewen (Ostpreußen),Małszewo,Q11772517,"53.56666667,20.7",53.56666667,20.7
Malschöwen,Małszewo,Q11772517,"53.56666667,20.7",53.56666667,20.7
Manaus (Brasilien),Manaus,Q40236,"-3.118888888888889,-60.02166666666667",-3.118888888888889,-60.02166666666667
Manchester,Manchester,Q18125,"53.466666666667,-2.2333333333333",53.466666666667,-2.2333333333333
Manila,Manila,Q1461,"14.595833333333333,120.97722222222222",14.595833333333333,120.97722222222222
Manila (Luzon),Manila Luzon,Q6749693,,,
Manila (Luzon) [...],Manila Luzon,Q6749693,,,
Manila (Philippinen),Manila,Q1461,"14.595833333333333,120.97722222222222",14.595833333333333,120.97722222222222
"Maningaza-Fluss (bei Beravi, West-Madagaskar)",Beravina,Q2896885,"-18.1,45.13",-18.1,45.13
Mannheim,Mannheim,Q2119,"49.48777777777778,8.466111111111111",49.48777777777778,8.466111111111111
Mannheim (?),Mannheim,Q2119,"49.48777777777778,8.466111111111111",49.48777777777778,8.466111111111111
Maracaibo,Maracaibo,Q171632,"10.633333333333,-71.633333333333",10.633333333333,-71.633333333333
Maranguape,Maranguape,Q1795232,"-3.89,-38.685833333333",-3.89,-38.685833333333
Marburg,Marburg,Q3869,"50.816666666667,8.7666666666667",50.816666666667,8.7666666666667
Marburg a./Lahn,Marburg,Q3869,"50.816666666667,8.7666666666667",50.816666666667,8.7666666666667
Marburg a./Lahr,Marburg,Q3869,"50.816666666667,8.7666666666667",50.816666666667,8.7666666666667
Marcaibo,Maracaibo,Q171632,"10.633333333333,-71.633333333333",10.633333333333,-71.633333333333
Margelan,Margilan,Q261076,"40.466666666667,71.716666666667",40.466666666667,71.716666666667
Marianen,Mariana Islands,Q153732,"16.7,145.78",16.7,145.78
Mariannhill (Südafrika),Mariannhill,Q3847738,"-29.85,30.833333333333",-29.85,30.833333333333
Mariatrost bei Graz,Mariatrost,Q875624,"47.1072,15.4914",47.1072,15.4914
Marienfelde,Marienfelde,Q695777,"52.4167,13.3667",52.4167,13.3667
Marienwerder,Kwidzyn,Q326582,"53.735833333333,18.930833333333",53.735833333333,18.930833333333
Märkisch Friedland,Mirosławiec,Q988632,"53.343888888889,16.087222222222",53.343888888889,16.087222222222
Markkleeberg,Markkleeberg,Q10782,"51.275555,12.369166",51.275555,12.369166
Marokko,Morocco,Q1028,"32,-6",32,-6
Marokko (?),Morocco,Q1028,"32,-6",32,-6
Marquesas Inseln,Marquesas Islands,Q172697,"-8.9,-139.6",-8.9,-139.6
Marquesas-Inseln [...],Marquesas Islands,Q172697,"-8.9,-139.6",-8.9,-139.6
Marshall-Inseln,Marshall Islands,Q709,"9.82,169.29",9.82,169.29
"Marshall-Inseln, Fidji-Inseln",Marshall Islands,Q709,"9.82,169.29",9.82,169.29
"Marshall-Inseln, Gilbert-Inseln",Gilbert Islands,Q271876,"0,174",0,174
"Marton, Yorkshire (Großbritannien)",Marton,Q441541,"54.5406,-1.2124",54.5406,-1.2124
Maschona-Land,Mashonaland East Province,Q465853,"-17.5,32",-17.5,32
Maschonaland,Mashonaland East Province,Q465853,"-17.5,32",-17.5,32
Mashona [...],Mashonaland East Province,Q465853,"-17.5,32",-17.5,32
Maskat,Muscat,Q3826,"23.613888888889,58.592222222222",23.613888888889,58.592222222222
Matto Grosso (Brasilien),Mato Grosso,Q42824,"-12.833333333333334,-56.31666666666667",-12.833333333333334,-56.31666666666667
"Matty, St. Matthias, New Irland",St Matthias Islands,Q1401458,"-1.5833333333333,149.81666666667",-1.5833333333333,149.81666666667
Matupi,Matupi,Q1910786,"-4.25,152.18305556",-4.25,152.18305556
Matupi [...],Matupi,Q1910786,"-4.25,152.18305556",-4.25,152.18305556
Maxsain,Maxsain,Q282605,"50.545833333333,7.7880555555556",50.545833333333,7.7880555555556
Mbeyahof,Mbeya,Q335548,"-8.9,33.45",-8.9,33.45
Medan Deli (Sumatra),Medan Deli,Q4200542,"3.6574816330820443,98.6708561032952",3.6574816330820443,98.6708561032952
Meissen,Meissen,Q8738,"51.163611111111,13.4775",51.163611111111,13.4775
Melanesien,Melanesia,Q37394,"-9,161",-9,161
Melange (Portugiesisch Westafrika),Guinea-Bissau,Q1007,"12,-15",12,-15
Melange (Portugiesisch Westafrika) (?),Guinea-Bissau,Q1007,"12,-15",12,-15
Melbourne,Melbourne,Q3141,"-37.814166666666665,144.96305555555554",-37.814166666666665,144.96305555555554
Melbourne (Australien),Melbourne,Q3141,"-37.814166666666665,144.96305555555554",-37.814166666666665,144.96305555555554
Menado (Celebres/Sulawesi),Manado,Q15847,"1.4930555555556,124.84126111111",1.4930555555556,124.84126111111
Mengo,Mengo,Q6817018,"0.346667,32.6056",0.346667,32.6056
Menton-Garavan (Riviera),Gare de Menton-Garavan,Q3097023,"43.785,7.516944",43.785,7.516944
Meran,Merano,Q131605,"46.669555,11.159419",46.669555,11.159419
Meran (Obermais),Merano,Q131605,"46.669555,11.159419",46.669555,11.159419
Merantee (Holländisch Neu-Guinea),Netherlands New Guinea,Q941881,"-2.533333333333333,140.71666666666667",-2.533333333333333,140.71666666666667
"Mérida (Yucatán, Mexiko)",Mérida,Q2651972,"20.95,-89.61666666666666",20.95,-89.61666666666666
Mesoamerika [...],Mesoamerica,Q13703,"16,-93",16,-93
Mesopotamien,Mesopotamia,Q11767,"33.7,43.5",33.7,43.5
Metschkau (Mieczków) (Schlesien),Mieczków,Q11779616,"51.03333333,16.53333333",51.03333333,16.53333333
Metz,Metz,Q22690,"49.119722222222,6.1769444444444",49.119722222222,6.1769444444444
Mexiko,Mexico,Q96,"23,-102",23,-102
Mexiko [...],Mexico,Q96,"23,-102",23,-102
Mexiko City,Mexico City,Q1489,"19.353773,-99.13589",19.353773,-99.13589
Mexiko City [...],Mexico City,Q1489,"19.353773,-99.13589",19.353773,-99.13589
Mexiko-Stadt,Mexico City,Q1489,"19.353773,-99.13589",19.353773,-99.13589
Midan,Midane,Q12194152,"33.58030511381465,35.56368067694276",33.58030511381465,35.56368067694276
Mikindani,Mikindani,Q1669597,"-10.28,40.11138889",-10.28,40.11138889
Millstadt (Kärnten),Millstatt am See,Q668044,"46.804166666667,13.580555555556",46.804166666667,13.580555555556
Milwaukee (Wisconin),Milwaukee,Q37836,"43.05,-87.95",43.05,-87.95
Milwaukee (Wisconsin),Milwaukee,Q37836,"43.05,-87.95",43.05,-87.95
Mimoso (oder Cuiabá),Cuiabá,Q170762,"-15.595833333333,-56.096944444444",-15.595833333333,-56.096944444444
Minden (Westfalen),Minden,Q3846,"52.288333333333334,8.916666666666666",52.288333333333334,8.916666666666666
Missionsschule Niesky,Ehemalige Missionsschule der Brüdergemeine Ödernitzer Straße 16,Q49420315,"51.291385,14.825645",51.291385,14.825645
"Missionsstation, Chishawasha",Chishawasha,Q5102075,"-17.78888,31.227203",-17.78888,31.227203
"Missionsstation, Coranderrk",Coranderrk,Q1123787,"-37.684,145.522",-37.684,145.522
Mitla (Mexiko),Mitla,Q1366027,"16.91666667,-96.4",16.91666667,-96.4
"Mittel-Kamerun, Süd-Kamerun [...]",Kamerun,Q668294,"4.0369,9.6858",4.0369,9.6858
Moabit,Moabit,Q699800,"52.5333,13.3333",52.5333,13.3333
Mödling (bei Wien / Österreich),Mödling,Q277965,"48.085555555556,16.283055555556",48.085555555556,16.283055555556
Mohasi-See (Ruanda) [...],Lake Muhazi,Q3215074,"-1.85,30.4",-1.85,30.4
Möhringen a.d. Filder [...],Möhringen,Q1957900,"48.7258,9.1464",48.7258,9.1464
Mombasa,Mombasa,Q225641,"-4.05,39.666666666667",-4.05,39.666666666667
Mönchengladbach (Rheinland),Mönchengladbach,Q2758,"51.2,6.4333333333333",51.2,6.4333333333333
Mondevideo,Montevideo,Q1335,"-34.90591666666667,-56.19131111111111",-34.90591666666667,-56.19131111111111
Mongolei,Mongolia,Q711,"46,105",46,105
Montego-Bay (Jamaica),Montego Bay,Q637555,"18.466666666667,-77.916666666667",18.466666666667,-77.916666666667
Montevideo,Montevideo,Q1335,"-34.90591666666667,-56.19131111111111",-34.90591666666667,-56.19131111111111
Montevideo (Uruguay),Uruguay Montevideo FC,Q2623620,,,
Montevideo (Uruguay) [...],Uruguay Montevideo FC,Q2623620,,,
Morelia (Mexiko),Morelia,Q1654632,"1.4858333333333,-75.724444444444",1.4858333333333,-75.724444444444
Mörz bei Belzig,Mörz (Planetal),Q17578668,"52.12107,12.68868",52.12107,12.68868
Moskau,Moscow,Q649,"55.75055555555556,37.6175",55.75055555555556,37.6175
Moskau (Russland),Moscow,Q649,"55.75055555555556,37.6175",55.75055555555556,37.6175
"Moskau (Sowjetunion, UdSSR)",Moscow,Q649,"55.75055555555556,37.6175",55.75055555555556,37.6175
Mozambique,Portuguese Mozambique,Q889394,"-25.91527777778,32.57638888889",-25.91527777778,32.57638888889
Mubi (Kamerun),Mubi,Q1951627,"10.2604,13.2606",10.2604,13.2606
Mühlheim a./Rh.,Mülheim an der Ruhr,Q2899,"51.4275,6.8825",51.4275,6.8825
Mukden (China),Shenyang,Q11720,"41.8025,123.42805555555556",41.8025,123.42805555555556
Mülheim a.d. Ruhr,Mülheim an der Ruhr,Q2899,"51.4275,6.8825",51.4275,6.8825
Mülheim/ Ruhr,Mülheim an der Ruhr,Q2899,"51.4275,6.8825",51.4275,6.8825
München,Munich,Q1726,"48.1375,11.575",48.1375,11.575
München [...],Munich,Q1726,"48.1375,11.575",48.1375,11.575
Münster,Münster,Q2742,"51.9625,7.6255555555556",51.9625,7.6255555555556
Münster (Westphalen),Münster,Q2742,"51.9625,7.6255555555556",51.9625,7.6255555555556
Muôa,Muôa,,,,
Myanmar (Birma),Myanmar,Q836,"22,96",22,96
Myanmar (Birma/Burma),Myanmar,Q836,"22,96",22,96
Nagasaki,Nagasaki,Q38234,"32.74952777777778,129.87963888888888",32.74952777777778,129.87963888888888
Nagasaki (Japan),Nagasaki,Q38234,"32.74952777777778,129.87963888888888",32.74952777777778,129.87963888888888
